Source,Category ID,Name,OVOKO ID,OVOKO Name,Level
BaseLinker,1730846,Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Dysze spryskiwaczy,98,Wycieraczki i spryskiwacze szyb i świateł,1
BaseLinker,1730847,Motoryzacja/Wyposażenie i akcesoria samochodowe/Elektronika samochodowa/Car audio/Anteny,1856,Antena radiowa,3
BaseLinker,1730848,Motoryzacja/Części samochodowe/Układ wentylacji/Dmuchawy,215,Wentylator nawiewu / Dmuchawa,3
BaseLinker,1730849,Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Przewody układów chłodzenia/Przewody chłodnic wody,1553,Wąż / Przewód nagrzewnicy chłodnicy,3
BaseLinker,1730850,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Pedały,1251,Inne części wnętrza samochodu,3
BaseLinker,1730851,Motoryzacja/Części samochodowe/Części karoserii/Spoilery,1799,Spojler klapy tylnej / bagażnika,3
BaseLinker,1730852,Motoryzacja/Części samochodowe/Układ wydechowy/Sondy lambda,1406,Sonda lambda,3
BaseLinker,1730853,Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Pompki spryskiwaczy,129,Elementy mechanizmów wycieraczek i spryskiwaczy,2
BaseLinker,1730854,Motoryzacja/Części samochodowe/Silniki i osprzęt/Zawieszenie silnika/Poduszki silnika,329,Poduszka silnika,3
BaseLinker,1730855,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Uchwyty fabryczne,1251,Inne części wnętrza samochodu,3
BaseLinker,1730856,Motoryzacja/Części samochodowe/Części karoserii/Lusterka zewnętrzne/Kompletne,604,Elektryczne lusterko boczne drzwi przednich,3
BaseLinker,1730857,Motoryzacja/Części samochodowe/Części karoserii/Pasy przednie,242,Pas przedni,3
BaseLinker,1730858,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Sprzęt audio fabryczny/Wzmacniacze,1278,Wzmacniacz audio,3
BaseLinker,1730859,Motoryzacja/Części samochodowe/Części karoserii/Klapy bagażnika/Zamki,1597,Zamek klapy tylnej bagażnika,3
BaseLinker,1730860,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Liczniki, zegary",1009,Licznik / Prędkościomierz,3
BaseLinker,1730861,Motoryzacja/Części samochodowe/Silniki i osprzęt/Turbosprężarki/Przewody powietrza turbosprężarki,274,Turbosprężarki i inne części,2
BaseLinker,1730862,Motoryzacja/Części samochodowe/Silniki i osprzęt/Przewody powietrza,299,Rura / Wąż dolotowy powietrza,3
BaseLinker,1730863,Motoryzacja/Części samochodowe/Części karoserii/Klapy bagażnika/Siłowniki,561,Siłownika klapy tylnej bagażnika,3
BaseLinker,1730864,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Pozostałe",1299,Układ zapłonowy,2
BaseLinker,1730865,Motoryzacja/Części samochodowe/Pozostałe,1249,Inne części,1
BaseLinker,1730866,"Motoryzacja/Części samochodowe/Części karoserii/Zderzaki/Atrapy, zaślepki",514,Maskownica / Grill / Atrapa górna chłodnicy,3
BaseLinker,1730867,"Motoryzacja/Części samochodowe/Układ napędowy/Półosie, przeguby, wały/Wały napędowe",1339,Wał napędowy / Komplet,3
BaseLinker,1730868,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Kierownice,1251,Inne części wnętrza samochodu,3
BaseLinker,1730869,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Czujniki/Pozostałe",1299,Układ zapłonowy,2
BaseLinker,1730870,Motoryzacja/Części samochodowe/Układ kierowniczy/Przekładnie kierownicze,331,Układ jezdny,2
BaseLinker,1730871,Motoryzacja/Części samochodowe/Części karoserii/Zderzaki/Wzmocnienia zderzaków (belki),1435,Belka zderzaka przedniego,3
BaseLinker,1730872,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Pasy bezpieczeństwa,902,Pas bezpieczeństwa fotela przedniego,3
BaseLinker,1730873,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Oświetlenie kabiny,190,Oświetlenie wnętrza kabiny,2
BaseLinker,1730874,Motoryzacja/Części samochodowe/Silniki i osprzęt/Pompy podciśnieniowe,1456,Inna część silnika,3
BaseLinker,1730875,Motoryzacja/Części samochodowe/Części karoserii/Dachy/Dachy,1097,Dach,3
BaseLinker,1730876,Motoryzacja/Części samochodowe/Układ paliwowy/Wtryskiwacze,313,Wtryskiwacze i inne elementy,2
BaseLinker,1730877,Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Kierownice powietrza,197,Układ klimatyzacji / Wentylacji / Chłodzenia silnika / Ogrzewanie postojowe,1
BaseLinker,1730878,Motoryzacja/Części samochodowe/Układ kierowniczy/Pompy wspomagania,340,Pompa wspomagania,3
BaseLinker,1730879,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Przekaźniki",1059,Przekaźnik zapłonu,3
BaseLinker,1730880,Motoryzacja/Części samochodowe/Układ klimatyzacji/Kompresory klimatyzacji/Kompresory klimatyzacji,202,Kompresor / Sprężarka klimatyzacji A/C,3
BaseLinker,1730881,Motoryzacja/Części samochodowe/Silniki i osprzęt/Pozostałe,1456,Inna część silnika,3
BaseLinker,1730882,Motoryzacja/Części samochodowe/Układ wentylacji/Kanały powietrza,197,Układ klimatyzacji / Wentylacji / Chłodzenia silnika / Ogrzewanie postojowe,1
BaseLinker,1730883,Motoryzacja/Części samochodowe/Układ hamulcowy/Pozostałe,1,Układ hamulcowy,1
BaseLinker,1730884,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Wyposażenie elektryczne/Moduły poduszek powietrznych",1157,Inne komputery / moduły / sterowniki,3
BaseLinker,1730885,Motoryzacja/Części samochodowe/Oświetlenie/Sterowniki świateł,1412,Sterownik / Moduł świateł LCM,3
BaseLinker,1730886,Motoryzacja/Części samochodowe/Części karoserii/Zderzaki/Elementy mocujące,503,Zderzaki przednie i inne elementy,2
BaseLinker,1730887,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Wyposażenie elektryczne/Sterowniki",1052,Przekaźniki i sterowniki,2
BaseLinker,1730888,Motoryzacja/Części samochodowe/Części karoserii/Klapki wlewu paliwa/Klapki,803,Klapka wlewu paliwa,3
BaseLinker,1730889,Motoryzacja/Części samochodowe/Części karoserii/Szyby/Szyberdachy,1101,Szyberdach komplet,3
BaseLinker,1730890,Motoryzacja/Części samochodowe/Oświetlenie/Lampy przednie i elementy/Lampy przednie,135,Lampy przednie i inne elementy,2
BaseLinker,1730891,Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Mechanizmy wycieraczek,111,Mechanizm i silniczek wycieraczek szyby przedniej / czołowej,3
BaseLinker,1730892,Motoryzacja/Części samochodowe/Części karoserii/Drzwi/Zamki,765,Zamek drzwi przednich,3
BaseLinker,1730893,Motoryzacja/Części samochodowe/Części karoserii/Drzwi/Klamki zewnętrzne,762,Klamka zewnętrzna drzwi,3
BaseLinker,1730894,Motoryzacja/Części samochodowe/Silniki i osprzęt/Przepływomierze,296,Przepływomierz masowy powietrza MAF,3
BaseLinker,1730897,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Poszycia słupków,806,Wyposażenie wnętrza samochodu,1
BaseLinker,1730898,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Popielniczki,820,Popielniczka deski rozdzielczej,3
BaseLinker,1730899,Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Pompy wody/Pompy wody,220,Pompa wody,3
BaseLinker,1730900,Motoryzacja/Części samochodowe/Silniki i osprzęt/Turbosprężarki/Kompletne turbosprężarki,274,Turbosprężarki i inne części,2
BaseLinker,1730901,Motoryzacja/Części samochodowe/Silniki i osprzęt/Głowice cylindrów/Głowice,264,Głowica silnika,3
BaseLinker,1730902,Motoryzacja/Części samochodowe/Silniki i osprzęt/Obudowy filtrów powietrza,292,Osłona / Obudowa filtra powietrza,3
BaseLinker,1730903,Motoryzacja/Części samochodowe/Układ paliwowy/Pompy paliwa,311,Pompa paliwa w zbiorniku,3
BaseLinker,1730904,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Sprzęt audio fabryczny/Radioodtwarzacze,1277,Panel / Radioodtwarzacz CD/DVD/GPS,3
BaseLinker,1730905,Motoryzacja/Wyposażenie i akcesoria samochodowe/Elektronika samochodowa/Car audio/Głośniki,1893,Zestaw audio,3
BaseLinker,1730906,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Wyposażenie elektryczne/Klaksony",1289,Klakson,3
BaseLinker,1730907,Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Zbiorniki wyrównawcze,230,Zbiornik wyrównawczy chłodziwa,3
BaseLinker,1730908,Motoryzacja/Części samochodowe/Oświetlenie/Czujniki/Poziomowania,355,Czujnik poziomowania świateł osi przedniej,3
BaseLinker,1730909,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Podsufitki,934,Podsufitka,3
BaseLinker,1730910,Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Elementy mocujące,806,Wyposażenie wnętrza samochodu,1
BaseLinker,1730911,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Deski rozdzielcze, konsole",816,Deska rozdzielcza,3
BaseLinker,1730912,Motoryzacja/Części samochodowe/Silniki i osprzęt/Elementy napędu paska osprzętu/Koła pasowe,250,Silnik i osprzęt,1
